Tournament,Type,Winner,url,season,tourn_id,prize_fund
2007 UK Championship,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/uk-championship/2007/147,2007,147,"GBP 615,400"
2007 Northern Ireland Trophy,Ranking,Stephen Maguire,https://cuetracker.net/tournaments/northern-ireland-trophy/2007/151,2007,151,"GBP 220,500"
2007 Grand Prix,Ranking,Marco Fu,https://cuetracker.net/tournaments/grand-prix/2007/152,2007,152,"GBP 491,100"
2007 Pot Black,Invitational,Ken Doherty,https://cuetracker.net/tournaments/pot-black/2007/154,2007,154,"GBP 40,000"
2007 Premier League,League,Ronnie O'Sullivan,https://cuetracker.net/tournaments/premier-league/2007/149,2007,149,"GBP 259,000"
2007 Shanghai Masters,Ranking,Dominic Dale,https://cuetracker.net/tournaments/shanghai-masters/2007/157,2007,157,"GBP 250,000"
2009 World Championship,Ranking,John Higgins,https://cuetracker.net/tournaments/world-championship/2009/98,2008,98,"GBP 1,258,000"
2009 China Open,Ranking,Peter Ebdon,https://cuetracker.net/tournaments/china-open/2009/99,2008,99,"GBP 267,900"
2009 Welsh Open,Ranking,Ali Carter,https://cuetracker.net/tournaments/welsh-open/2009/111,2008,111,"GBP 225,500"
2009 Masters,Invitational,Ronnie O'Sullivan,https://cuetracker.net/tournaments/masters/2009/112,2008,112,"GBP 482,000"
2009 Championship League,League,Judd Trump,https://cuetracker.net/tournaments/championship-league/2009/101,2008,101,"GBP 166,900"
2008 UK Championship,Ranking,Shaun Murphy,https://cuetracker.net/tournaments/uk-championship/2008/113,2008,113,"GBP 650,000"
2008 Bahrain Championship,Ranking,Neil Robertson,https://cuetracker.net/tournaments/bahrain-championship/2008/118,2008,118,"GBP 263,525"
2008 Grand Prix,Ranking,John Higgins,https://cuetracker.net/tournaments/grand-prix/2008/121,2008,121,"GBP 494,600"
2008 Shanghai Masters,Ranking,Ricky Walden,https://cuetracker.net/tournaments/shanghai-masters/2008/122,2008,122,"GBP 298,350"
2008 Premier League,League,Ronnie O'Sullivan,https://cuetracker.net/tournaments/premier-league/2008/114,2008,114,"GBP 269,000"
2008 Northern Ireland Trophy,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/northern-ireland-trophy/2008/125,2008,125,"GBP 200,500"
2008 Jiangsu Classic,Invitational,Ding Junhui,https://cuetracker.net/tournaments/jiangsu-classic/2008/133,2008,133,"GBP 74,000"
2010 World Championship,Ranking,Neil Robertson,https://cuetracker.net/tournaments/world-championship/2010/57,2009,57,"GBP 1,111,000"
2010 China Open,Ranking,Mark Williams,https://cuetracker.net/tournaments/china-open/2010/60,2009,60,"GBP 318,270"
2010 Welsh Open,Ranking,John Higgins,https://cuetracker.net/tournaments/welsh-open/2010/58,2009,58,"GBP 222,200"
2010 Masters,Invitational,Mark Selby,https://cuetracker.net/tournaments/masters/2010/74,2009,74,"GBP 486,000"
2010 Championship League,League,Marco Fu,https://cuetracker.net/tournaments/championship-league/2010/72,2009,72,"GBP 163,000"
2009 UK Championship,Ranking,Ding Junhui,https://cuetracker.net/tournaments/uk-championship/2009/77,2009,77,"GBP 625,000"
2009 Grand Prix,Ranking,Neil Robertson,https://cuetracker.net/tournaments/grand-prix/2009/82,2009,82,"GBP 502,100"
2009 Shanghai Masters,Ranking,Ronnie O'Sullivan,https://cuetracker.net/tournaments/shanghai-masters/2009/83,2009,83,"GBP 296,360"
2009 Premier League,League,Shaun Murphy,https://cuetracker.net/tournaments/premier-league/2009/78,2009,78,"GBP 228,000"
2009 Jiangsu Classic,Invitational,Mark Allen,https://cuetracker.net/tournaments/jiangsu-classic/2009/94,2009,94,"GBP 88,000"
2011 World Championship,Ranking,John Higgins,https://cuetracker.net/tournaments/world-championship/2011/3,2010,3,"GBP 1,111,000"
2011 China Open,Ranking,Judd Trump,https://cuetracker.net/tournaments/china-open/2011/1,2010,1,"GBP 319,075"
2011 PTC Grand Final,Ranking,Shaun Murphy,https://cuetracker.net/tournaments/ptc-grand-final/2011/13,2010,13,"GBP 197,500"
2011 Welsh Open,Ranking,John Higgins,https://cuetracker.net/tournaments/welsh-open/2011/15,2010,15,"GBP 201,500"
2011 German Masters,Ranking,Mark Williams,https://cuetracker.net/tournaments/german-masters/2011/16,2010,16,"GBP 227,105"
2011 Snooker Shootout,Invitational,Nigel Bond,https://cuetracker.net/tournaments/snooker-shootout/2011/42,2010,42,"GBP 129,500"
2011 Masters,Invitational,Ding Junhui,https://cuetracker.net/tournaments/masters/2011/17,2010,17,"GBP 500,000"
2011 Championship League,League,Matthew Stevens,https://cuetracker.net/tournaments/championship-league/2011/12,2010,12,"GBP 165,800"
